InvoiceNo,Date,CustomerID,CustomerType,ProductID,Quantity,MetalCost,TotalWeightGrams,InvoiceValue,Profit
INV0002585,2024-01-13,CUST0522,Retail,P014,4,27975.28,422.16,36881.48,5314.2
INV0002866,2024-01-13,CUST0166,Retail,P014,2,10370.79,156.5,13631.63,1930.43
INV0001305,2024-01-13,CUST0488,Wholesale,P016,8,59624.4,899.76,71897.32,4812.62
INV0001817,2024-01-13,CUST0536,Wholesale,P007,14,75719.47,1321.18,86960.65,6436.77
INV0001905,2024-01-13,CUST0046,Retail,P017,3,13194.42,199.11,16922.06,1915.32
INV0001989,2024-01-13,CUST0598,Retail,P010,3,1571.5,27.42,1861.71,188.85
INV0001643,2024-01-13,CUST0400,Retail,P012,5,124043.23,2164.35,146834.37,14793.11
INV0002930,2024-01-14,CUST0060,Retail,P009,3,1626.0,28.92,2113.53,377.19
INV0000690,2024-01-14,CUST0457,Retail,P005,4,10995.17,195.56,14015.61,2172.41
INV0000695,2024-01-14,CUST0508,Retail,P003,2,9778.48,173.92,12063.52,1640.33
INV0001316,2024-01-14,CUST0376,Wholesale,P015,19,21986.04,338.2,26159.63,1432.92
INV0001826,2024-01-14,CUST0413,Retail,P013,4,228701.24,4067.68,279166.48,35473.14
INV0001008,2024-01-14,CUST0651,Retail,P019,5,3175.69,48.85,4199.3,615.49
INV0000804,2024-01-14,CUST0278,Retail,P014,1,8112.47,124.79,10807.45,1650.08
INV0002626,2024-01-14,CUST0504,Wholesale,P023,31,883155.72,13585.13,1048670.75,46655.65
INV0000070,2024-01-14,CUST0559,Wholesale,P024,18,292329.87,4496.76,344593.74,12994.17
INV0002643,2024-01-14,CUST0008,Retail,P018,5,3013.17,46.35,3942.03,542.85
INV0001077,2024-01-15,CUST0310,Retail,P009,2,601.9,11.04,768.86,126.51
INV0001167,2024-01-15,CUST0792,Retail,P019,4,3812.58,60.48,4756.53,462.28
INV0002700,2024-01-15,CUST0284,Wholesale,P018,33,16579.82,263.01,20441.08,1773.71
INV0001736,2024-01-15,CUST0249,Retail,P020,4,880018.43,13959.96,1212371.1,209039.05
INV0001484,2024-01-15,CUST0219,Retail,P001,1,229165.55,4203.33,289113.45,44652.15
INV0002632,2024-01-15,CUST0667,Wholesale,P016,24,89792.4,1424.4,105712.27,4759.55
INV0002697,2024-01-15,CUST0641,Wholesale,P015,41,53294.22,845.42,62739.66,2821.59
INV0000463,2024-01-15,CUST0023,Retail,P017,2,5744.09,91.12,7478.9,942.57
INV0001475,2024-01-15,CUST0708,Retail,P008,5,27777.94,509.5,35299.13,5659.72
INV0000395,2024-01-16,CUST0234,Retail,P009,4,3190.59,59.12,4054.72,650.31
INV0001051,2024-01-16,CUST0081,Retail,P019,5,4932.76,79.05,6488.29,922.6
INV0002350,2024-01-16,CUST0080,Wholesale,P001,10,2210421.34,40958.0,2455137.42,106894.58
INV0000197,2024-01-16,CUST0419,Retail,P017,4,17799.12,285.24,22342.91,2113.12
INV0001202,2024-01-16,CUST0050,Retail,P002,1,4362.77,80.84,5399.86,748.93
INV0000814,2024-01-16,CUST0516,Retail,P021,3,233322.33,3739.11,297631.11,32307.68
INV0002385,2024-01-16,CUST0146,Retail,P008,5,20534.82,380.5,26156.52,4243.82
INV0002013,2024-01-17,CUST0653,Retail,P021,5,321754.17,4925.55,426584.13,60229.76
INV0000865,2024-01-17,CUST0197,Retail,P009,3,2149.11,38.04,2626.18,336.11
INV0000309,2024-01-17,CUST0211,Wholesale,P018,45,25662.34,392.85,31590.15,2698.1
INV0001117,2024-01-17,CUST0479,Retail,P003,5,20112.58,356.0,26038.69,4564.32
INV0000953,2024-01-17,CUST0166,Retail,P005,4,8537.68,151.12,10724.33,1532.78
INV0002265,2024-01-17,CUST0732,Retail,P014,4,23903.18,365.92,31712.64,4734.5
INV0000436,2024-01-17,CUST0298,Retail,P016,3,14237.26,217.95,19167.39,3090.51
INV0000147,2024-01-18,CUST0513,Wholesale,P014,25,152683.46,2252.5,180327.41,8650.19
INV0000963,2024-01-18,CUST0028,Retail,P006,2,1385.87,23.64,1807.89,327.78
INV0001162,2024-01-18,CUST0360,Wholesale,P004,44,72456.92,1235.96,80512.99,2812.75
INV0000997,2024-01-18,CUST0357,Wholesale,P021,30,1638630.75,24174.3,1883002.42,25663.86
INV0001015,2024-01-18,CUST0709,Wholesale,P016,16,105623.74,1558.24,130360.37,11433.59
INV0001369,2024-01-18,CUST0450,Wholesale,P005,21,26813.45,457.38,30302.23,1533.65
INV0000858,2024-01-18,CUST0774,Retail,P011,5,18123.61,309.15,23269.35,3924.28
INV0002345,2024-01-18,CUST0228,Retail,P022,3,99384.22,1466.19,135997.22,22713.5
INV0002263,2024-01-18,CUST0548,Wholesale,P020,43,12521165.55,184721.55,15363752.08,1142982.05
INV0000228,2024-01-18,CUST0065,Wholesale,P009,31,19972.61,340.69,22635.36,1404.29
INV0001555,2024-01-19,CUST0057,Retail,P006,3,2234.23,39.84,2728.14,347.42
INV0001954,2024-01-19,CUST0757,Retail,P017,4,6663.22,102.76,8849.65,1262.35
INV0001554,2024-01-19,CUST0336,Wholesale,P019,20,22707.84,350.2,27209.39,1665.33
INV0000496,2024-01-19,CUST0316,Wholesale,P009,24,9690.62,172.8,10580.27,290.77
INV0001673,2024-01-19,CUST0329,Retail,P019,4,1281.29,19.76,1678.78,233.27
INV0000431,2024-01-19,CUST0297,Retail,P004,1,1651.56,29.45,2066.67,288.86
INV0002497,2024-01-19,CUST0353,Retail,P014,4,27913.4,430.48,35793.07,4324.94
INV0002755,2024-01-20,CUST0140,Wholesale,P021,36,3308560.96,51295.32,3954250.28,199660.88
INV0001238,2024-01-20,CUST0582,Wholesale,P011,39,297401.24,5331.3,345925.83,29527.04
INV0000256,2024-01-20,CUST0417,Retail,P014,4,26406.4,409.4,34839.31,5041.59
INV0000768,2024-01-20,CUST0033,Retail,P019,2,708.21,10.98,957.95,158.1
INV0001831,2024-01-20,CUST0484,Retail,P024,1,28198.86,437.19,37304.17,5198.89
INV0002524,2024-01-20,CUST0336,Wholesale,P009,31,22480.95,403.0,26228.52,2309.2
INV0000653,2024-01-20,CUST0363,Wholesale,P014,42,259279.39,4019.82,302663.41,11233.43
INV0000110,2024-01-20,CUST0441,Wholesale,P002,19,88925.27,1594.1,98809.44,4338.47
INV0000900,2024-01-20,CUST0170,Retail,P003,4,16141.66,289.36,20207.57,2993.09
INV0002169,2024-01-21,CUST0127,Wholesale,P015,18,22303.96,338.04,26476.42,1393.94
INV0001330,2024-01-21,CUST0361,Wholesale,P011,9,69291.67,1214.28,77494.51,3866.97
INV0000433,2024-01-21,CUST0152,Wholesale,P015,29,41406.57,627.56,49129.55,2565.43
INV0000902,2024-01-21,CUST0128,Wholesale,P002,34,174499.43,3057.96,197148.99,11672.38
INV0002817,2024-01-21,CUST0062,Wholesale,P011,43,166658.84,2920.56,186735.88,9638.36
INV0002659,2024-01-21,CUST0068,Retail,P005,1,3584.19,62.81,4420.01,563.71
INV0000504,2024-01-22,CUST0135,Retail,P018,5,2234.68,36.4,2894.86,374.74
INV0002209,2024-01-22,CUST0440,Wholesale,P007,38,269497.24,5075.66,294597.16,8434.5
INV0002088,2024-01-22,CUST0310,Retail,P015,1,935.0,15.23,1165.31,112.22
INV0000283,2024-01-22,CUST0369,Retail,P009,2,1264.75,23.82,1543.52,195.87
INV0001916,2024-01-22,CUST0445,Retail,P017,4,14103.03,229.72,18602.52,2547.37
INV0000752,2024-01-22,CUST0787,Retail,P022,5,37756.23,615.0,49882.01,6897.29
INV0002886,2024-01-22,CUST0265,Retail,P022,5,206698.5,3366.85,262792.47,27769.97
INV0002143,2024-01-22,CUST0466,Retail,P016,2,11572.44,188.5,15922.44,2844.72
INV0000213,2024-01-22,CUST0545,Retail,P015,4,2055.41,33.48,2734.02,413.99
INV0002448,2024-01-23,CUST0656,Retail,P005,1,1779.78,32.14,2215.03,299.54
INV0001899,2024-01-23,CUST0166,Retail,P009,5,3020.76,54.55,3896.48,671.61
INV0000793,2024-01-23,CUST0009,Retail,P012,5,61957.44,1118.85,74288.17,8308.28
INV0000544,2024-01-23,CUST0199,Retail,P015,5,3742.47,58.45,4937.97,714.86
INV0001707,2024-01-23,CUST0070,Retail,P015,3,2314.63,36.15,3019.95,409.04
INV0000739,2024-01-23,CUST0796,Retail,P010,5,3197.96,57.75,3977.81,568.05
INV0002384,2024-01-23,CUST0756,Wholesale,P010,22,3898.47,70.4,4499.02,352.56
INV0001080,2024-01-23,CUST0792,Retail,P023,4,111924.38,1748.04,148223.95,20789.93
INV0002701,2024-01-23,CUST0311,Wholesale,P012,30,413276.63,7463.1,469825.03,30465.88
INV0002266,2024-01-24,CUST0141,Retail,P015,2,1805.32,27.4,2413.42,375.33
INV0002487,2024-01-24,CUST0773,Wholesale,P011,45,334074.4,5862.6,372538.31,17591.05
INV0002602,2024-01-24,CUST0019,Retail,P002,2,7709.94,135.3,9772.28,1546.41
INV0001230,2024-01-24,CUST0281,Retail,P010,2,1281.0,22.48,1672.92,304.76
INV0002596,2024-01-24,CUST0334,Retail,P018,2,910.57,13.82,1194.38,167.07
INV0001988,2024-01-24,CUST0736,Retail,P011,4,22944.04,402.64,27740.32,3299.99
INV0002155,2024-01-24,CUST0200,Retail,P003,5,24876.37,436.55,29562.91,3079.19
INV0002316,2024-01-24,CUST0465,Retail,P004,4,3838.44,67.36,4814.56,682.35
INV0001072,2024-01-25,CUST0214,Wholesale,P006,45,31727.44,549.45,35770.71,2049.58
INV0001448,2024-01-25,CUST0221,Retail,P019,2,1630.44,24.42,2066.14,228.78
INV0002483,2024-01-25,CUST0008,Retail,P022,4,25363.26,379.88,34474.94,5571.23
INV0001416,2024-01-25,CUST0405,Retail,P022,5,130051.13,1947.85,171118.45,23078.18
INV0002545,2024-01-25,CUST0545,Retail,P003,3,17295.48,299.52,21982.29,3527.69
INV0001932,2024-01-25,CUST0752,Retail,P014,4,26367.43,394.92,33144.65,3438.77
INV0002024,2024-01-25,CUST0093,Retail,P002,2,8842.92,153.14,10972.48,1544.68
INV0000084,2024-01-25,CUST0324,Wholesale,P002,33,128319.87,2222.22,149637.95,13110.09
INV0001714,2024-01-25,CUST0098,Retail,P010,5,1787.18,30.95,2065.41,164.45
INV0000520,2024-01-25,CUST0734,Retail,P004,1,3086.99,53.46,3737.17,417.85
INV0001425,2024-01-25,CUST0676,Wholesale,P024,41,615975.71,9225.82,725490.16,26786.1
INV0000668,2024-01-25,CUST0698,Wholesale,P004,25,69032.95,1195.5,78818.28,4728.33
INV0001682,2024-01-25,CUST0156,Retail,P024,4,97257.43,1456.68,125366.45,14731.83
INV0002150,2024-01-26,CUST0540,Wholesale,P018,36,16870.45,262.8,19957.31,987.24
INV0002471,2024-01-26,CUST0275,Retail,P006,2,1031.56,18.58,1226.26,128.03
INV0001473,2024-01-26,CUST0494,Retail,P019,2,2271.22,35.38,3106.79,540.67
INV0002810,2024-01-26,CUST0738,Retail,P017,2,4321.61,67.32,5718.21,797.89
INV0002420,2024-01-26,CUST0627,Retail,P009,2,1413.54,25.46,1764.31,256.97
INV0000179,2024-01-26,CUST0435,Retail,P022,1,41079.66,639.92,57041.34,10192.31
INV0002259,2024-01-26,CUST0029,Retail,P008,1,4216.74,75.95,5199.72,705.03
INV0002999,2024-01-26,CUST0039,Wholesale,P007,45,187055.21,3369.15,208554.58,9813.3
INV0001372,2024-01-26,CUST0752,Retail,P005,2,7687.3,138.46,9561.35,1288.07
INV0001676,2024-01-26,CUST0787,Retail,P008,4,18825.72,339.08,23236.58,3169.3
INV0000764,2024-01-27,CUST0388,Wholesale,P017,9,49324.87,751.68,58757.67,2788.92
INV0001157,2024-01-27,CUST0579,Retail,P004,3,6469.73,114.0,7632.08,681.27
INV0000276,2024-01-27,CUST0784,Retail,P012,3,41571.41,732.51,52365.32,8021.57
INV0002456,2024-01-27,CUST0422,Retail,P004,2,2851.22,50.24,3479.27,412.66
INV0001214,2024-01-27,CUST0114,Retail,P018,4,2716.65,41.4,3663.96,596.09
INV0001287,2024-01-27,CUST0118,Wholesale,P003,24,105912.85,1866.24,115307.1,2858.4
INV0001150,2024-01-27,CUST0383,Retail,P019,3,2826.89,43.08,3740.91,550.64
INV0001368,2024-01-27,CUST0356,Retail,P021,4,212620.3,3240.2,295376.8,52891.26
INV0000619,2024-01-27,CUST0199,Retail,P018,2,1691.67,25.78,2263.75,353.9
INV0001888,2024-01-27,CUST0323,Retail,P006,4,2004.48,35.32,2388.92,254.73
INV0002242,2024-01-27,CUST0543,Wholesale,P002,8,36675.41,646.24,41969.2,2971.13
INV0002698,2024-01-28,CUST0577,Retail,P008,4,13446.05,238.0,16970.99,2627.26
INV0000311,2024-01-28,CUST0612,Retail,P010,5,1672.28,29.6,1954.11,174.74
INV0001366,2024-01-28,CUST0341,Wholesale,P004,33,49331.18,873.18,53787.44,916.39
INV0002508,2024-01-28,CUST0061,Retail,P010,4,1742.34,30.84,2128.9,272.28
INV0000116,2024-01-28,CUST0223,Retail,P019,1,1074.57,16.45,1412.28,199.87
INV0002476,2024-01-28,CUST0488,Wholesale,P019,40,10765.31,164.8,12710.28,605.89
INV0000959,2024-01-29,CUST0594,Retail,P004,1,1370.12,23.8,1666.32,192.87
INV0000300,2024-01-29,CUST0262,Retail,P003,5,24374.29,423.4,29089.34,3136.56
INV0000936,2024-01-29,CUST0633,Wholesale,P006,25,12722.53,221.0,14689.87,1157.8
INV0001037,2024-01-29,CUST0113,Retail,P008,2,8691.62,150.98,11088.56,1813.22
INV0002001,2024-01-29,CUST0500,Wholesale,P006,32,9081.93,157.76,10125.86,476.54
INV0001895,2024-01-29,CUST0440,Wholesale,P014,8,52989.47,796.08,64160.35,4533.08
INV0002301,2024-01-29,CUST0479,Retail,P018,2,536.5,8.06,728.3,122.31
INV0000260,2024-01-29,CUST0638,Retail,P003,3,17104.6,297.12,21152.54,2918.71
INV0000745,2024-01-29,CUST0014,Retail,P006,2,1552.03,26.96,2004.7,347.72
INV0002760,2024-01-29,CUST0725,Retail,P002,2,8867.77,154.04,10796.95,1348.68
INV0002112,2024-01-30,CUST0671,Retail,P005,3,6362.78,118.32,7438.44,604.5
INV0001143,2024-01-30,CUST0642,Retail,P015,4,3872.48,62.28,5244.55,870.8
INV0001809,2024-01-30,CUST0714,Retail,P004,5,7499.06,139.45,9765.06,1681.62
INV0001294,2024-01-30,CUST0312,Retail,P016,1,5000.39,80.42,6607.94,965.05
INV0001590,2024-01-30,CUST0533,Wholesale,P017,27,61612.68,990.9,70987.73,1146.18
INV0001703,2024-01-30,CUST0272,Wholesale,P008,36,202982.89,3774.6,236151.46,20200.88
INV0002848,2024-01-30,CUST0527,Retail,P006,2,1149.73,21.38,1394.92,170.07
INV0001367,2024-01-30,CUST0055,Retail,P016,2,7812.11,125.64,10066.59,1258.19
INV0002319,2024-01-30,CUST0522,Retail,P010,3,1584.24,29.46,1990.15,300.41
INV0001284,2024-01-31,CUST0138,Retail,P001,5,1081010.26,18919.95,1370774.63,217408.59
INV0002362,2024-01-31,CUST0312,Retail,P010,4,1366.69,23.92,1727.75,269.74
INV0001501,2024-01-31,CUST0406,Retail,P012,5,73802.57,1291.7,96655.21,17823.36
INV0001163,2024-01-31,CUST0317,Retail,P008,4,21768.82,381.0,26347.87,3158.58
INV0002995,2024-01-31,CUST0182,Retail,P004,4,13552.66,237.2,17367.64,2767.02
INV0001404,2024-01-31,CUST0605,Retail,P017,4,8839.3,133.8,11570.06,1509.84
INV0001975,2024-02-01,CUST0329,Retail,P007,1,2887.74,52.92,3403.13,329.64
INV0000763,2024-02-01,CUST0742,Retail,P006,5,1421.5,26.05,1826.32,308.99
INV0000024,2024-02-01,CUST0242,Retail,P009,4,1678.51,30.76,2149.8,358.31
INV0001547,2024-02-01,CUST0645,Retail,P018,2,1598.81,25.34,2002.77,201.74
INV0001609,2024-02-01,CUST0108,Retail,P006,3,921.65,16.89,1086.05,105.12
INV0000685,2024-02-01,CUST0011,Retail,P022,1,15022.74,238.1,20682.48,3555.07
INV0001761,2024-02-01,CUST0716,Retail,P010,4,1925.16,35.28,2394.87,342.21
INV0000293,2024-02-01,CUST0264,Wholesale,P018,17,12013.15,190.4,14221.58,713.03
